time	V(timing)	V(n005)
7.501405188211223e-03	0.000000e+00	6.698552e-01
7.536561438211221e-03	0.000000e+00	6.467236e-01
7.571717688211220e-03	0.000000e+00	6.243912e-01
7.606873938211219e-03	0.000000e+00	6.028304e-01
7.642030188211218e-03	0.000000e+00	5.820144e-01
7.677186438211216e-03	0.000000e+00	5.619177e-01
7.712342688211215e-03	0.000000e+00	5.425153e-01
7.747498938211214e-03	0.000000e+00	5.237832e-01
7.782655188211213e-03	0.000000e+00	5.056983e-01
7.812789116782641e-03	0.000000e+00	4.907266e-01
7.842923045354071e-03	0.000000e+00	4.761685e-01
7.873056973925501e-03	0.000000e+00	4.620238e-01
7.903190902496931e-03	0.000000e+00	4.482927e-01
7.933324831068359e-03	0.000000e+00	4.349750e-01
7.963458759639788e-03	0.000000e+00	4.220708e-01
7.993592688211218e-03	0.000000e+00	4.095801e-01
8.035445366782648e-03	0.000000e+00	3.928697e-01
8.077298045354078e-03	0.000000e+00	3.767798e-01
8.119150723925508e-03	0.000000e+00	3.613105e-01
8.161003402496939e-03	0.000000e+00	3.464618e-01
8.202856081068369e-03	0.000000e+00	3.322337e-01
8.244708759639799e-03	0.000000e+00	3.186262e-01
8.286561438211229e-03	0.000000e+00	3.056392e-01
8.366918581068375e-03	0.000000e+00	2.823745e-01
8.447275723925521e-03	0.000000e+00	2.606094e-01
8.527632866782667e-03	0.000000e+00	2.403440e-01
8.607990009639813e-03	0.000000e+00	2.215782e-01
8.688347152496959e-03	0.000000e+00	2.043122e-01
8.768704295354104e-03	0.000000e+00	1.885458e-01
8.849061438211250e-03	0.000000e+00	1.742790e-01
8.941137331068397e-03	0.000000e+00	1.592343e-01
9.033213223925543e-03	0.000000e+00	1.452689e-01
9.125289116782689e-03	0.000000e+00	1.323828e-01
9.217365009639836e-03	0.000000e+00	1.205759e-01
9.309440902496982e-03	0.000000e+00	1.098482e-01
9.401516795354128e-03	0.000000e+00	1.001999e-01
